timestamp_s,frame_index,action,detected,confidence,target_cx,target_cy,dx,dy,norm_area,fps
18.842,86,SEARCH,0,0.0,-1,-1,0,0,0.0,5.29
19.031,87,SEARCH,0,0.0,-1,-1,0,0,0.0,5.28
19.216,88,SEARCH,0,0.0,-1,-1,0,0,0.0,5.42
19.416,89,SEARCH,0,0.0,-1,-1,0,0,0.0,4.98
19.602,90,SEARCH,0,0.0,-1,-1,0,0,0.0,5.38
19.791,91,SEARCH,0,0.0,-1,-1,0,0,0.0,5.31
19.974,92,SEARCH,0,0.0,-1,-1,0,0,0.0,5.46
20.152,93,SEARCH,0,0.0,-1,-1,0,0,0.0,5.62
20.347,94,SEARCH,0,0.0,-1,-1,0,0,0.0,5.11
20.526,95,SEARCH,0,0.0,-1,-1,0,0,0.0,5.61
20.722,96,SEARCH,0,0.0,-1,-1,0,0,0.0,5.09
20.907,97,SEARCH,0,0.0,-1,-1,0,0,0.0,5.41
21.093,98,SEARCH,0,0.0,-1,-1,0,0,0.0,5.38
21.277,99,SEARCH,0,0.0,-1,-1,0,0,0.0,5.45
21.471,100,SEARCH,0,0.0,-1,-1,0,0,0.0,5.15
21.656,101,SEARCH,0,0.0,-1,-1,0,0,0.0,5.4
21.845,102,SEARCH,0,0.0,-1,-1,0,0,0.0,5.29
22.032,103,SEARCH,0,0.0,-1,-1,0,0,0.0,5.35
22.221,104,SEARCH,0,0.0,-1,-1,0,0,0.0,5.29
22.415,105,SEARCH,0,0.0,-1,-1,0,0,0.0,5.17
22.603,106,SEARCH,0,0.0,-1,-1,0,0,0.0,5.32
22.806,107,SEARCH,0,0.0,-1,-1,0,0,0.0,4.91
22.995,108,SEARCH,0,0.0,-1,-1,0,0,0.0,5.29
23.196,109,SEARCH,0,0.0,-1,-1,0,0,0.0,4.99
23.386,110,SEARCH,0,0.0,-1,-1,0,0,0.0,5.26
23.574,111,SEARCH,0,0.0,-1,-1,0,0,0.0,5.32
23.76,112,SEARCH,0,0.0,-1,-1,0,0,0.0,5.35
23.958,113,SEARCH,0,0.0,-1,-1,0,0,0.0,5.07
24.147,114,SEARCH,0,0.0,-1,-1,0,0,0.0,5.28
24.333,115,SEARCH,0,0.0,-1,-1,0,0,0.0,5.39
24.509,116,SEARCH,0,0.0,-1,-1,0,0,0.0,5.68
24.7,117,SEARCH,0,0.0,-1,-1,0,0,0.0,5.24
24.889,118,SEARCH,0,0.0,-1,-1,0,0,0.0,5.28
25.087,119,SEARCH,0,0.0,-1,-1,0,0,0.0,5.04
25.28,120,SEARCH,0,0.0,-1,-1,0,0,0.0,5.19
25.48,121,SEARCH,0,0.0,-1,-1,0,0,0.0,4.99
25.665,122,SEARCH,0,0.0,-1,-1,0,0,0.0,5.42
25.918,123,SEARCH,0,0.0,-1,-1,0,0,0.0,3.95
26.145,124,TURN_RIGHT,1,0.567,382,338,62,98,0.193899,4.4
26.35,125,SEARCH,0,0.0,-1,-1,0,0,0.0,4.87
26.546,126,SEARCH,0,0.0,-1,-1,0,0,0.0,5.1
26.729,127,SEARCH,0,0.0,-1,-1,0,0,0.0,5.47
26.911,128,SEARCH,0,0.0,-1,-1,0,0,0.0,5.51
27.099,129,SEARCH,0,0.0,-1,-1,0,0,0.0,5.32
27.279,130,SEARCH,0,0.0,-1,-1,0,0,0.0,5.54
27.493,131,SEARCH,0,0.0,-1,-1,0,0,0.0,4.69
